Title,Authors,Abstract,Link,Star
Lattice surgery for near-term experimental logical qubit entanglement creation in planar architectures,"Lukas Bödeker, Áron Márton, Luis Colmenarez, Ilya Besedin, Andreas Wallraff, Markus Müller","In the era of early fault-tolerant quantum computing, basic demonstrations of entanglement operations between a few logical qubits are at the frontier of recent developments in quantum computing. In this work, we describe in detail, at both the logical and physical qubit levels, a logical teleportation protocol between two surface code logical qubits based on lattice surgery. We address several aspects of the teleportation protocol pertinent to superconducting qubit architectures. We explore the modularity constraints in the number and location of stabilizer readouts and compare variants of the teleportation protocol in this regard. Additionally, we investigate potential performance improvements related to in-sequence decision logic and the optimal size of the interface region between two surface code patches on a superconducting chip. Based on our simulations, we show possible near-term improvements in lattice surgery protocols that facilitate fault-tolerant quantum computing in superconducting circuit architectures.",https://arxiv.org/abs/2606.15190,
Microwave Crosstalk in Planar Superconducting Quantum Devices,"Yongxin Song, Dominic Hagmann, Kieran Dalton, Felix Henrich, Felix Wagner, Mohsen Bahrami Panah, Marek Pechal, Andreas Wallraff","Microwave crosstalk poses a major challenge to scaling superconducting quantum devices as it introduces excess control errors. Although its magnitude and impact have been explored in various experimental settings, quantitative physical models capable of explaining measured crosstalk for a given device geometry remain scarce. Here, we address this gap by investigating microwave crosstalk in planar superconducting devices with crossovers. We identify two structures that can lead to strong crosstalk: a drive line routed in close proximity to another qubit, and a drive line crossing a qubit-qubit coupler using an air bridge. We design and characterize devices involving these structures and develop physical models that quantitatively explain the experimentally observed crosstalk. Based on these models, we discuss the design considerations for reducing microwave crosstalk. Our results provide practical guidance for low-crosstalk device layouts and establish a basis for the systematic investigation of weaker crosstalk mechanisms",https://arxiv.org/abs/2606.02440,
A Review of Design Concerns in Superconducting Quantum Circuits,"Eli M. Levenson-Falk, Sadman Ahmed Shanto","In this short review we describe the process of designing a superconducting circuit device for quantum information applications. We discuss the factors that must be considered to implement a desired effective Hamiltonian on a device. We describe the translation between a device's physical layout, the circuit graph, and the effective Hamiltonian. We go over the process of electromagnetic simulation of a device layout to predict its behavior. We also discuss concerns such as connectivity, crosstalk suppression, and radiation shielding, and how they affect both on-chip design and enclosure structures. This paper provides an overview of the challenges in superconducting quantum circuit design and acts as a starter document for researchers working on any of these challenges.",https://arxiv.org/abs/2411.16967,
A Modular Cryogenic Link for Microwave Quantum Communication Over Distances of Tens of Meters,"Josua D. Schär, Simon Storz, Paul Magnard, Philipp Kurpiers, Janis Lütolf, Melvin Gehrig, Jean-Claude Besse, Anatoly Kulikov, Andreas Wallraff","Quantum technologies promise a radically new way to solve classically intractable computing problems. Superconducting circuits as a platform are at the forefront of this field. The cryogenic operation temperatures of superconducting circuits however impose challenges for the further scaling to many connected quantum information processing units into a local area or global network. In this work, we present a hardware solution for connecting quantum devices operating at microwave frequencies into local area networks, which enable the exchange of quantum information between spatially separated parties. Specifically, we demonstrate a modular system spanning distances of 5, 10 and 30 meters operated at cryogenic temperatures and connecting two superconducting circuit systems, located in individual dilution refrigerators, through a quantum communication channel. We develop a thermal model to evaluate the heat transfer processes in the setup, optimize the design and select appropriate materials for its construction. The assembled 30-meter-long system achieves operating temperatures of below 50 mK after a cooldown time of about six and a half days. This link enables the execution of distributed quantum computing and communication algorithms. It also adds the resource of non-locality, certified by a loophole-free Bell test, to the field of quantum science and technology with superconducting circuits.",https://arxiv.org/abs/2604.15971,
Assessing the Sensitivity of Niobium- and Tantalum-Based Superconducting Qubits to Infrared Radiation,"Michael Kerschbaum, Felix Wagner, Uroš Ognjanović, Giovanni Vio, Kuno Knapp, Dante Colao Zanuz, Alexander Flasby, Mohsen Bahrami Panah, Andreas Wallraff, Jean-Claude Besse","The use of tantalum films for superconducting qubits has recently extended qubit coherence times significantly, primarily due to reduced dielectric losses at the metal-air interface. However, the choice of base material also influences the sensitivity to quasiparticle-induced decoherence. In this study, we investigate quasiparticle tunneling rates in niobium and tantalum-based offset-charge-sensitive qubits. Using a source of thermal radiation, we characterize the sensitivity of either material to infrared radiation and explore the impact of the infrared background through the targeted use of in-line filters in the wiring and ambient infrared absorbers. We identify both radiation channels as significant contributions to decoherence for tantalum but not for niobium qubits and achieve tunneling rates of 100 Hz and 300 Hz for niobium and tantalum respectively upon installation of infrared filters. Additionally, we find a time-dependence in the observed tunneling rates on the scale of days, which we interpret as evidence of slowly cooling, thermally radiating components in the experimental setup. Our findings indicate that continued improvements in coherence times may require renewed attention to radiative backgrounds and experimental setup design, especially when introducing new material platforms.",https://arxiv.org/abs/2602.05806,
A superconducting surface-code processor with lattice-surgery logical operations,"Yanzhe Wang, Fanhao Shen, Haipeng Xie, Aosai Zhang, Yu Gao, Chuanyu Zhang, Xuhao Zhu, Feitong Jin, Yiren Zou, Ning Wang, Zhengyi Cui, Zehang Bao, Zitian Zhu, Jiarun Zhong, Gongyu Liu, Jia-Nan Yang, Yihang Han, Yiyang He, Jiayuan Shen, Han Wang, Jiahua Huang, Xinrong Zhang, Sailang Zhou, Hang Dong, Jinfeng Deng, Yaozu Wu, Zixuan Song, Hekang Li, Zhen Wang, Chao Song, Qiujiang Guo, Pengfei Zhang, H. Wang, Ying Li","Fault-tolerant logical operations are fundamental for scalable quantum computation. Here, we report the experimental realization of lattice-surgery operations between a pair of distance-three surface-code logical qubits on a planar superconducting processor. During repeated syndrome extraction cycles, the logical qubits exhibit per-cycle error rates of 0.0365(2) and 0.0282(1), respectively, after leakage events are rejected. By leveraging joint initialization and lattice splitting, we deterministically prepare a logical Bell state, confirming genuine bipartite entanglement via the error-corrected logical state fidelity. We further execute a two-qubit Deutsch-Jozsa algorithm at the logical level to demonstrate algorithmic utility in a fault-tolerant framework. Finally, to achieve universal control, we implement magic-state injection and gate teleportation to realize continuous non-Clifford rotations about the logical X axis. For the logical RX(pi/4) gate, we achieve a logical gate fidelity of 0.943 conditioned on the absence of detected errors. These results establish lattice surgery as a practical and versatile paradigm for logical computation in near-term surface-code architectures, representing a critical milestone toward scalable fault-tolerant quantum advantage in superconducting circuits.",https://arxiv.org/abs/2606.06598,
Entangling logical qubits without physical operations,"Jin Ming Koh, Anqi Gong, Andrei C. Diaconu, Daniel Bochen Tan, Alexandra A. Geim, Michael J. Gullans, Norman Y. Yao, Mikhail D. Lukin, Shayan Majidy","Fault-tolerant logical entangling gates are essential for scalable quantum computing, but are limited by the error rates and overheads of physical two-qubit gates and measurements. To address this limitation, we introduce phantom codes-quantum error-correcting codes that realize entangling gates between all logical qubits in a code block purely through relabelling of physical qubits during compilation, yielding perfect fidelity with no spatial or temporal overhead. We present a systematic study of such codes. First, we identify phantom codes using complementary numerical and analytical approaches. We exhaustively enumerate all 2.71 x 10^10 inequivalent CSS codes up to n=14 and identify additional instances up to n=21 via SAT-based methods. We then construct higher-distance phantom-code families using quantum Reed-Muller codes and the binarization of qudit codes. Across all identified codes, we characterize other supported fault-tolerant logical Clifford and non-Clifford operations. Second, through end-to-end noisy simulations with state preparation, full QEC cycles, and realistic physical error rates, we demonstrate scalable advantages of phantom codes over the surface code across multiple tasks. We observe a one-to-two order-of-magnitude reduction in logical infidelity at comparable qubit overhead for GHZ-state preparation and Trotterized many-body simulation tasks, given a modest preselection acceptance rate. Our work establishes phantom codes as a viable architectural route to fault-tolerant quantum computation with scalable benefits for workloads with dense local entangling structure, and introduces general tools for systematically exploring the broader landscape of quantum error-correcting codes.",https://arxiv.org/abs/2601.20927,
Developments in superconducting erasure qubits for hardware-efficient quantum error correction,"Maria Violaris, Luciana Henaut, James Wills, Gioele Consani, Jamie Friel, Brian Vlastakis","Quantum computers are inherently noisy, and a crucial challenge for achieving large-scale, fault-tolerant quantum computing is to implement quantum error correction. A promising direction that has made rapid recent progress is to design hardware that has a specific noise profile, leading to a significantly higher threshold for noise with certain quantum error correcting codes. This Perspective focuses on erasure qubits, which enable hardware-efficient quantum error correction, by concatenating an inner code built-in to the hardware with an outer code. We focus on implementations of dual-rail encoded erasure qubits using superconducting qubits, giving an overview of recent developments in theory and simulation, and hardware demonstrators. We also discuss the differences between implementations; near-term applications using quantum error detection; and the open problems for developing this approach towards early fault-tolerant quantum computers.",https://arxiv.org/abs/2601.02183,
Scalable Fluxonium Quantum Processors via Tunable-Coupler Architecture,"Ze Zhan, Zishuo Li, Fei Wang, Wangwei Lan, Xianchuang Pan, Liang Xiang, Xu Dou, Ran Gao, Guicheng Gong, Yanbo Guo, Quan Guan, Lijuan Hu, Ruizhi Hu, Honghong Ji, Lijing Jin, Yongyue Jin, Chengyao Li, Kannan Lu, Lu Ma, Xizheng Ma, Hongcheng Wang, Jiahui Wang, Huijuan Zhan, Tao Zhou, Xing Zhu, Chunqing Deng, Tenghui Wang","Superconducting quantum processors have largely converged on transmon-based architectures, while alternative qubit modalities with intrinsic error protection have lacked a demonstrated path to scalable system integration. In particular, although tunable-coupler-mediated interactions have been validated for small fluxonium systems, it remains unclear whether such designs can be scaled to a multi-qubit lattice. Here, we establish a scalable fluxonium processor architecture based on a modular qubit-coupler unit cell engineered to suppress residual interactions and spectator errors in a many-qubit lattice. The system enables parallel single-qubit gate fidelities approaching 99.99% and two-qubit CZ gate fidelities around 99%. With an optimized gate duration of 32 ns, the best CZ gate fidelity reaches 99.9%. We further validate this architecture in a 22-qubit processor based on the same configuration, where parallel operations enable the deterministic generation of Greenberger-Horne-Zeilinger states involving up to 10 qubits. Together, these results demonstrate that the fluxonium-tunable-coupler unit cell composes without emergent interaction pathologies and establish fluxonium as a scalable superconducting qubit platform.",https://arxiv.org/abs/2604.13363,
"Fast, High-Fidelity Erasure Detection of Dual-Rail Qubits with Symmetrically Coupled Readout","Jimmy Shih-Chun Hung, Arbel Haim, Mouktik Raha, Gihwan Kim, Ziwen Huang, Ming-Han Chou, Mitch DEwart, Erik Davis, Anurag Mishra, Patricio Arrangoiz-Arriola, Amirhossein Khalajhedayati, David Hover, Fernando G.S.L. Brandao, Aashish A. Clerk, Alex Retzker, Harry Levine, Oskar Painter","Erasure qubits are a promising platform for implementing hardware-efficient quantum error correction. Realizing the error-correction advantages of this encoding requires frequent mid-circuit erasure checks that are fast, high-fidelity, and scalable. Here, we realize erasure detection with a hardware-efficient circuit consisting of a single readout resonator dispersively and symmetrically coupled to both transmons of a dual-rail qubit. We use this circuit to demonstrate single-shot erasure detection in 384 ns with minimal impact on the dual-rail logical manifold, achieving a residual error per check of 6.0(2) x 10^-4, with only 8(3) x 10^-5 induced dephasing per check, and an erasure error per check of 2.54(1) x 10^-2. The high degree of matched dispersive readout coupling (chi-matching) within the dual-rail qubit code space also allows us to realize a new modality: time-continuous erasure detection performed in parallel with single-qubit gates. Here we achieve a median 7.2 x 10^-5 error per gate with less than 1 x 10^-5 error induced by erasure detection. This demonstrates a reduction in erasure detection overhead as well as a crucial ingredient for soft information quantum error correction. Together, these results establish symmetrically coupled dispersive readout as a fast, hardware-efficient, and scalable component for erasure-based quantum error correction using transmon dual-rail qubits.",https://arxiv.org/abs/2604.16292,
